model,finished_runs,benchmarks,benchmark_names,scaffolds,scaffold_names,median_tasks_per_run,p90_tasks_per_run,all_task_error_runs,any_task_error_runs,first_started_at,last_started_at
openai-codex/gpt-5.4-mini,29,1,vcb,1,pi_agent,1.0,5.0,25,25,2026-06-05T18:38:39.764581Z,2026-06-08T16:18:16.688693Z
thinkingmachines/inkling-small,29,13,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,14,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,89.0,450.0,0,10,2026-07-30T22:06:03.785309Z,2026-08-06T01:15:14.021859Z
deepseek/deepseek-v4-flash,28,4,cyberbench | srebench | swebench | vcb,5,mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | srebench_mini_sweagent,60.0,89.0,0,20,2026-05-25T18:36:02.918911Z,2026-08-06T22:44:56.969549Z
google/gemini-3.1-flash-lite-preview,27,7,fabv2-internal | harvey-legal-agent | ioi | programbench | snap | terminal-bench | vcb,8,fabv2_agent | fabv2_agent_debug | harvey-labs | ioi_agent | openhands | programbench_agent | snap-agent | terminus2,89.0,450.0,15,16,2026-04-21T07:05:02.039850Z,2026-06-07T20:12:19.671426Z
meta/muse_spark_1_2,27,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,15,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,89.0,450.0,0,10,2026-08-05T22:50:12.128826Z,2026-08-07T23:46:50.634231Z
openai/iris-alpha,27,8,code-migration | fabv2-internal | programbench | proof-bench | snap | swebench | terminal-bench | vcb,10,codex | codex_vcb | fabv2_agent | mini_swe_code_migration | mini_sweagent | openhands | programbench_agent | proof_bench_agent | snap_agent | terminus2,79.0,211.60000000000005,1,4,2026-05-22T23:26:29.101648Z,2026-05-29T02:57:25.756896Z
anthropic/claude-opus-5,26,2,cpse-bench | cyberbench,5,cpse_agent | mini_sweagent_cpse | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands_cpse,1.0,1.0,0,2,2026-08-02T11:33:14.109486Z,2026-08-07T23:20:01.087983Z
alibaba/qwen3.8-max,25,14,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,14,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,1.0,116.40000000000003,0,2,2026-08-03T06:01:33.096949Z,2026-08-05T17:08:43.887874Z
cursor/composer-2.5,25,7,blueprint | programbench | swebench | swesmith | terminal-bench | valsmith | vcb,1,cursor,3.0,50.0,0,1,2026-05-19T22:40:56.636739Z,2026-06-17T05:49:53.541139Z
nvidia/nemotron-3-ultra-550b-a55b,25,6,fabv2-internal | legal-research | proof-bench | swebench | terminal-bench | vcb,6,fabv2_agent | legal_research_agent | mini_sweagent | openhands | proof_bench_agent | terminus2,50.0,450.0,7,9,2026-06-02T06:54:16.539793Z,2026-06-09T21:14:54.478849Z
grok/grok-4-1-fast-reasoning,24,1,snap,2,snap-agent | snap_agent,229.5,230.0,1,1,2026-05-07T22:46:04.819314Z,2026-06-16T03:35:32.204347Z
xai/grok-4.5,24,1,cpse-bench,3,cpse_agent | mini_sweagent_cpse | openhands_cpse,1.0,1.0,0,0,2026-08-06T22:19:41.942473Z,2026-08-07T23:20:14.509566Z
xiaomi/mimo-v2.5-pro,24,7,code-migration | emb | fabv2-internal | proof-bench | swebench | terminal-bench | vcb,8,emb_agent | fabv2_agent | mini_swe_code_migration | mini_sweagent | openhands | openhands-no-screenshot | proof_bench_agent | terminus2,50.0,450.0,5,9,2026-05-29T01:55:41.334230Z,2026-08-07T19:12:43.665266Z
alibaba/qwen3.6-plus,23,8,code-migration | emb | fabv2-internal | harvey-legal-agent | programbench | snap | swebench | terminal-bench,8,emb_agent | fabv2_agent | harvey-labs | mini_swe_code_migration | mini_sweagent | programbench_agent | snap-agent | terminus2,89.0,450.0,5,7,2026-04-03T17:18:31.391736Z,2026-06-20T16:15:54.309522Z
kimi/kimi-k2.7-code,23,6,code-migration | programbench | skillsbench | swebench | terminal-bench | vcb,6,mini_swe_code_migration | mini_sweagent | openhands | openhands_cli | programbench_agent | terminus2,87.0,120.0,0,0,2026-06-12T18:37:39.411416Z,2026-07-24T18:49:14.227365Z
ant/ling-3.0-flash-2607,22,12,code-migration | cyberbench | emb | fabv2-internal | harvey-legal-agent | legal-research | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,13,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | proof_bench_agent | snap_agent | terminus2,89.0,450.0,0,16,2026-07-30T05:27:06.587448Z,2026-08-01T19:00:15.389944Z
cohere/command-a-plus-05-2026,22,6,fabv2-internal | legal-research | proof-bench | swebench | terminal-bench | vcb,6,fabv2_agent | legal_research_agent | mini_sweagent | openhands | proof_bench_agent | terminus2,89.0,450.0,7,16,2026-05-21T00:46:05.556072Z,2026-06-08T18:43:39.169802Z
openai/gpt-5.4-2026-03-05-high,22,4,code-migration | harvey | harvey-legal-agent | programbench,3,harvey-labs | mini_swe_code_migration | programbench_agent,2.5,278.3000000000002,10,11,2026-05-07T08:33:56.276072Z,2026-06-10T20:54:55.968743Z
grok/v9-carrot,21,11,code-migration | cyberbench | emb | harvey-legal-agent | legal-research | programbench | proof-bench | snap | swebench | terminal-bench | vcb,11,emb_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | mini_sweagent_poc_agent | openhands | programbench_agent | proof_bench_agent | snap_agent | terminus2,100.0,230.0,0,3,2026-07-08T07:20:35.867829Z,2026-07-13T16:42:02.704847Z
mistralai/mistral-medium-3.5,21,5,fabv2-internal | proof-bench | swebench | terminal-bench | vcb,5,fabv2_agent | mini_sweagent | openhands | proof_bench_agent | terminus2,89.0,450.0,3,4,2026-04-30T04:18:59.320366Z,2026-06-19T21:23:57.004208Z
openai/gpt-5.3-codex,21,5,cyberbench | harbor | swebench | terminal-bench | vcb,5,codex | mini_sweagent_patch_agent | mini_sweagent_poc_agent | terminus2 | yaml_mini_sweagent,1.0,89.0,4,7,2026-03-28T19:12:24.863491Z,2026-06-26T23:55:28.599637Z
anthropic/claude-fruitcake-eap,20,8,code-migration | emb | fabv2-internal | programbench | proof-bench | snap | swebench | vcb,8,emb_agent | fabv2_agent | mini_swe_code_migration | mini_sweagent | openhands | programbench_agent | proof_bench_agent | snap_agent,160.0,450.0,1,3,2026-06-03T18:09:21.921291Z,2026-06-11T03:40:26.313375Z
anthropic/claude-queso-eap-max-effort,20,8,code-migration | fabv2-internal | programbench | proof-bench | snap | swebench | terminal-bench | vcb,9,claude_code_vcb_smoke | fabv2_agent | mini_swe_code_migration | mini_sweagent | openhands | programbench_agent | proof_bench_agent | snap_agent | terminus2,89.0,450.0,3,4,2026-05-23T00:03:52.205494Z,2026-05-28T17:48:44.601780Z
anthropic/claude-sonnet-4-5-20250929,20,6,legal-research | snap | swebench | swesmith | terminal-bench | vcb,9,claude_code | claude_code_vcb | factory | legal_research_agent | mini_sweagent_grep_test | openhands | openhands_cli | snap-agent | sweagent,1.0,3.200000000000003,4,4,2026-04-12T02:16:44.390239Z,2026-06-28T04:40:48.211640Z
grok/v9m-exp-0805-row17-47p8-api-high,20,11,code-migration | emb | fabv2-internal | harvey-legal-agent | legal-research | programbench | proof-bench | snap | swebench | terminal-bench | vcb,11,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_swe_code_migration | mini_sweagent | openhands | programbench_agent | proof_bench_agent | snap_agent | terminus2,126.0,450.0,0,7,2026-08-07T05:44:20.458156Z,2026-08-07T23:01:04.151494Z
meta/blue_tower,20,6,fabv2-internal | programbench | proof-bench | swebench | terminal-bench | vcb,6,fabv2_agent | mini_sweagent | openhands | programbench_agent | proof_bench_agent | terminus2,89.0,450.0,1,2,2026-06-04T19:49:30.242800Z,2026-06-12T15:57:02.842513Z
alibaba/qwen3.7-plus,19,8,cyberbench | emb | fabv2-internal | harvey-legal-agent | skillsbench | swebench | terminal-bench | vcb,8,emb_agent_dummy | fabv2_agent | harvey-labs | mini_sweagent | mini_sweagent_patch_agent | openhands | openhands_cli | terminus2,87.0,450.0,0,5,2026-06-01T22:49:00.288313Z,2026-08-02T11:33:47.110010Z
google/models/ajax,19,5,fabv2-internal | proof-bench | swebench | terminal-bench | vcb,5,fabv2_agent | mini_sweagent | openhands | proof_bench_agent | terminus2,89.0,450.0,8,11,2026-05-12T01:19:26.033711Z,2026-05-15T19:40:54.661215Z
alibaba/qwen3.8-max-cn,17,9,emb | fabv2-internal | harvey-legal-agent | legal-research | programbench | proof-bench | skillsbench | snap | swebench,9,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_sweagent | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent,102.0,450.0,0,6,2026-08-05T17:39:23.768709Z,2026-08-07T18:38:31.980697Z
openai/gpt-5.2,17,13,cyberbench | emb | fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | skillsbench | snap | swebench | terminal-bench | vcb,13,emb_agent | fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_sweagent | mini_sweagent_poc_agent | openhands | openhands_skillsbench | programbench_agent | proof_bench_agent | snap_agent | terminus2,1.0,1.8000000000000007,0,1,2026-07-07T20:35:14.874391Z,2026-07-28T20:17:45.232924Z
poolside/laguna-m.1:fast,17,10,fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | snap | swebench | terminal-bench | vcb,10,fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_sweagent | openhands | programbench_agent | proof_bench_agent | snap_agent | terminus2,102.0,450.0,0,3,2026-06-18T18:48:14.873347Z,2026-07-03T00:39:20.815339Z
poolside/laguna-xs.2,17,6,fabv2-internal | programbench | proof-bench | swebench | terminal-bench | vcb,6,fabv2_agent | mini_sweagent | openhands | programbench_agent | proof_bench_agent | terminus2,100.0,450.0,5,7,2026-06-01T20:59:47.247055Z,2026-06-04T03:52:08.186561Z
poolside/laguna-xs.2:fast,17,10,fabv2-internal | harvey-legal-agent | ioi | legal-research | programbench | proof-bench | snap | swebench | terminal-bench | vcb,10,fabv2_agent | harvey-labs | ioi_agent | legal_research_agent | mini_sweagent | openhands | programbench_agent | proof_bench_agent | snap_agent | terminus2,102.0,450.0,0,4,2026-06-18T18:48:20.444026Z,2026-07-03T00:40:01.183646Z
grok/grok-4.20-0309-reasoning,15,4,fabv2-internal | harvey-legal-agent | snap | terminal-bench,4,fabv2_agent | harvey-labs | snap-agent | terminus2,89.0,450.0,4,5,2026-04-21T07:05:10.419956Z,2026-05-26T07:14:58.915677Z
meta/glassy_lagoon,15,4,fabv2-internal | swebench | terminal-bench | vcb,4,fabv2_agent | mini_sweagent | openhands | terminus2,89.0,350.39999999999986,0,2,2026-06-16T04:15:57.129512Z,2026-06-18T22:39:08.622455Z
xiaomi/mimo-v2.5,15,6,code-migration | fabv2-internal | proof-bench | swebench | terminal-bench | vcb,6,fabv2_agent | mini_swe_code_migration | mini_sweagent | openhands | proof_bench_agent | terminus2,120.0,450.0,0,4,2026-05-29T08:46:56.946984Z,2026-07-17T20:03:04.425532Z
kimi/kimi-k3-public,14,7,cyberbench | fabv2-internal | harvey-legal-agent | snap | swebench | terminal-bench | vcb,7,fabv2_agent | harvey-labs | mini_sweagent | mini_sweagent_poc_agent | openhands | snap_agent | terminus2,14.5,114.90000000000003,0,4,2026-07-17T19:16:05.617972Z,2026-07-29T06:40:43.523607Z
meta/emerald_lagoon,14,4,fabv2-internal | swebench | terminal-bench | vcb,4,fabv2_agent | mini_sweagent | openhands | terminus2,89.0,126.0,0,1,2026-06-16T04:14:53.657609Z,2026-06-18T22:38:57.525055Z
meta/super_nova_max,14,4,fabv2-internal | swebench | terminal-bench | vcb,4,fabv2_agent | mini_sweagent | openhands | terminus2,89.0,118.80000000000003,0,7,2026-07-07T14:12:16.451525Z,2026-07-07T19:50:42.477746Z
poolside/laguna-m.1,14,6,fabv2-internal | programbench | proof-bench | swebench | terminal-bench | vcb,6,fabv2_agent | mini_sweagent | openhands | programbench_agent | proof_bench_agent | terminus2,100.0,126.0,3,4,2026-06-01T20:59:43.905310Z,2026-06-04T20:48:53.556746Z
google/gemini-2.5-flash,13,5,emb | platformbe | snap | valsmith | web-search,4,emb_agent | mini_sweagent | snap-agent | web-search-agent,5.0,14.0,1,6,2026-05-07T22:46:37.483428Z,2026-07-14T02:36:01.199117Z
gpt-5.3-codex,13,4,skillsbench | swebench | terminal-bench | terminal-bench-local,3,codex | codex-v1.0 | yaml_codex,1.0,69.80000000000007,2,2,2026-04-09T21:00:13.182369Z,2026-06-22T13:53:56.751196Z
meta/super_nova_xhigh,13,4,proof-bench | terminal-bench | valsmith | vcb,4,mini_sweagent_private_gateway | openhands | proof_bench_agent | terminus2,50.0,89.0,0,4,2026-07-08T02:19:58.122831Z,2026-07-29T06:40:50.370690Z
zai/glm-5-thinking,13,4,fab | ioi | proof-bench | terminal-bench,4,finance-agent | ioi_agent | proof_bench_agent | terminus2,6.0,309.6000000000001,2,8,2026-03-25T17:39:48.261451Z,2026-04-28T18:15:21.402672Z
anthropic/claude-sonnet-5-high,12,2,skillsbench | terminal-bench,2,openhands_skillsbench | terminus2,45.5,89.0,0,2,2026-06-30T21:22:52.799560Z,2026-07-01T04:45:03.678203Z
google/gemma-4-31b-it,12,4,fabv2-internal | snap | swebench | vcb,5,fabv2_agent | fabv2_agent_enhanced | mini_sweagent | openhands | snap-agent,35.0,450.0,2,4,2026-04-02T23:45:53.779822Z,2026-06-04T01:36:22.994745Z
grok/v9-potato,12,8,emb | fabv2-internal | harvey-legal-agent | legal-research | proof-bench | swebench | terminal-bench | vcb,8,emb_agent | fabv2_agent | harvey-labs | legal_research_agent | mini_sweagent | openhands | proof_bench_agent | terminus2,111.0,450.0,0,1,2026-07-08T03:40:48.690070Z,2026-07-08T10:21:36.351581Z
meta/muse_spark,12,4,fabv2-internal | programbench | snap | terminal-bench,4,fabv2_agent | programbench_agent | snap-agent | terminus2,1.0,89.0,8,8,2026-04-21T18:16:01.054405Z,2026-07-08T23:49:18.628637Z
meta/super_nova_vals,12,9,emb | harvey-legal-agent | legal-research | programbench | proof-bench | snap | swebench | terminal-bench | vcb,9,emb_agent | harvey-labs | legal_research_agent | mini_sweagent | openhands | programbench_agent | proof_bench_agent | snap_agent | terminus2,101.0,227.8,0,2,2026-07-08T05:52:11.628310Z,2026-07-23T04:59:57.129040Z
openai/iris-alpha-code-mode,12,6,fabv2-internal | programbench | proof-bench | swebench | terminal-bench | vcb,6,fabv2_agent | mini_sweagent | openhands | programbench_agent | proof_bench_agent | terminus2,101.0,192.60000000000002,0,0,2026-05-23T02:09:55.267185Z,2026-05-23T07:37:57.678238Z
anthropic/claude-opus-4-6,10,1,snap,2,snap-agent | snap_agent,229.0,230.0,1,3,2026-05-07T22:46:21.682151Z,2026-05-16T17:25:34.330380Z
baseten/laguna-s-2.1-int4,10,3,fabv2-internal | terminal-bench | vcb,3,fabv2_agent | openhands | terminus2,89.0,126.0,0,7,2026-07-28T02:54:33.490208Z,2026-07-28T22:51:37.621303Z
openai/iris-alpha-auto,10,6,code-migration | fabv2-internal | proof-bench | swebench | terminal-bench | vcb,6,fabv2_agent | mini_swe_code_migration | mini_sweagent | openhands | proof_bench_agent | terminus2,94.5,126.0,0,0,2026-05-23T23:21:25.107724Z,2026-05-25T18:25:02.102082Z
arcee-ai/trinity-large-thinking,9,3,snap | swebench | vcb,3,mini_sweagent | openhands | snap-agent,20.0,181.60000000000008,3,4,2026-04-03T00:51:13.248153Z,2026-05-08T02:54:49.498925Z
gpt-5.5,9,2,harvey-legal-agent | skillsbench,2,codex-v1.0 | harvey-labs,87.0,87.0,0,0,2026-06-10T21:15:04.189278Z,2026-06-22T15:06:52.057743Z
grok/grok-build-0.1,9,2,swebench | vcb,3,grok_build | grok_build-smoke-test | openhands,1.0,50.0,1,1,2026-05-20T19:22:28.452165Z,2026-06-13T01:39:18.887094Z
openai/gpt-5-2025-08-07,9,2,platformbe | snap,2,mini_sweagent | snap-agent,1.0,14.0,2,4,2026-05-07T22:45:16.793844Z,2026-07-01T22:27:17.206953Z
anthropic/claude-queso-eap,8,4,cyberbench | fabv2-internal | terminal-bench | vcb,4,fabv2_agent | mini_sweagent_poc_agent | openhands | terminus2,89.0,450.0,2,4,2026-05-22T22:57:49.911477Z,2026-05-27T18:02:36.155798Z
fireworks/gpt-oss-20b,8,8,cyberbench | emb | fabv2-internal | legal-research | programbench | proof-bench | snap | swebench,8,emb_agent | fabv2_agent | legal_research_agent | mini_sweagent | mini_sweagent_poc_agent | programbench_agent | proof_bench_agent | snap_agent,1.0,1.0,0,0,2026-07-13T16:40:22.898200Z,2026-07-13T20:22:48.220097Z
openai/mercury-alpha,8,3,fabv2-internal | proof-bench | vcb,3,fabv2_agent | openhands | proof_bench_agent,75.0,450.0,1,6,2026-06-08T18:21:55.367514Z,2026-06-14T00:40:10.941642Z
devin/swe-1-6-fast,7,4,blueprint | swebench | terminal-bench | vcb,1,devin,1.0,2.6000000000000014,2,3,2026-06-03T23:19:31.450028Z,2026-06-11T18:24:30.106575Z
openai/firefly-alpha,7,4,fabv2-internal | proof-bench | swebench | vcb,4,fabv2_agent | mini_sweagent | openhands | proof_bench_agent,102.0,126.0,2,7,2026-06-03T19:25:05.278816Z,2026-06-04T03:10:28.642467Z
openai/gpt-4o,7,3,fabv2-internal | swebench | terminal-bench,4,fabv2_tavily_submit_agent | mini_sweagent | mini_sweagent-v1.0.0 | terminus2-v1.0.0,1.0,5.8000000000000025,0,0,2026-06-07T01:13:22.202659Z,2026-07-15T20:59:35.253653Z
anthropic/claude-haiku-4-5,6,3,blueprint | snap | valsmith,2,claude_code | snap_agent,5.0,28.5,0,1,2026-06-11T07:47:46.188918Z,2026-06-26T23:20:30.062890Z
grok/v9-stickynote,6,4,emb | fabv2-internal | terminal-bench | vcb,4,emb_agent | fabv2_agent | openhands | terminus2,89.0,276.0,0,5,2026-07-08T04:12:54.406506Z,2026-07-08T07:39:42.893352Z
grok/v9m-exp-0805-row17-47p8-api,6,1,skillsbench,1,openhands_skillsbench,87.0,87.0,0,0,2026-08-07T10:56:36.222013Z,2026-08-07T10:56:55.278313Z
grok/v9m-exp-0805-row17-47p8-api-medium,6,3,programbench | terminal-bench | vcb,4,grok_build | openhands | programbench_agent | terminus2,89.0,144.5,0,2,2026-08-07T13:22:35.590302Z,2026-08-07T16:12:57.952028Z
mistralai/mistral-small-2603,6,4,fabv2-internal | swebench | terminal-bench | vcb,4,fabv2_agent | mini_sweagent | openhands | terminus2,89.0,95.5,2,2,2026-04-21T07:05:23.122785Z,2026-05-05T02:54:37.590385Z
openai/gpt-5.4,6,1,vcb,1,codex,3.0,27.5,0,0,2026-05-14T00:31:46.236851Z,2026-05-22T00:11:55.297175Z
openai/joule-alpha,6,4,fabv2-internal | proof-bench | swebench | vcb,4,fabv2_agent | mini_sweagent | openhands | proof_bench_agent,114.0,126.0,1,1,2026-06-03T19:25:02.272668Z,2026-06-04T03:10:26.089451Z
anthropic/claude-opus-4-5-20251101,5,2,ioi | snap,2,ioi_agent | snap-agent,1.0,6.0,1,1,2026-04-28T04:13:29.885703Z,2026-05-07T22:53:30.005339Z
grok/v9m-exp-0805-row17-47p8-api-low,5,3,programbench | terminal-bench | vcb,3,openhands | programbench_agent | terminus2,89.0,155.60000000000002,0,2,2026-08-07T13:22:41.556226Z,2026-08-07T14:46:52.756130Z
openai/summit-alpha,5,1,swebench,1,mini_sweagent,102.0,500.0,0,1,2026-04-08T01:50:09.907873Z,2026-04-08T23:09:26.593970Z
anthropic/claude-horchata-eap-high,4,2,terminal-bench | vcb,2,openhands | terminus2,89.0,89.0,0,0,2026-07-23T03:20:03.029129Z,2026-07-23T07:54:11.162769Z
anthropic/claude-opus-4-8-high,4,2,emb | terminal-bench,2,emb_agent | terminus2,89.0,89.0,0,1,2026-06-21T02:28:28.961610Z,2026-07-23T16:46:23.828842Z
deepseek/deepseek-chat,4,1,swebench,1,openhands_cli,1.0,1.0,0,0,2026-06-17T21:26:02.171875Z,2026-06-18T00:18:21.513796Z
deepseek/deepseek-reasoner,4,2,fabv2-internal | swebench,2,fabv2_agent | mini_sweagent,2.0,350.6000000000001,2,3,2026-03-25T21:36:15.553139Z,2026-04-21T17:06:35.518316Z
devin/swe-1.6-fast,4,1,vcb,1,devin,1.0,1.0,3,3,2026-06-03T19:23:59.562401Z,2026-06-03T20:37:21.610169Z
google/gemini-3-pro-preview,4,2,fab | snap,2,finance-agent | snap-agent,1.0,3.8000000000000007,1,1,2026-03-27T23:45:23.147378Z,2026-05-08T02:55:15.243432Z
grok/grok-experimental-0410-1p5m,4,2,fabv2-internal | swebench,2,fabv2_agent | mini_sweagent,475.0,500.0,0,0,2026-04-15T00:43:42.300913Z,2026-04-28T06:21:24.658494Z
meta/quiet_sand,4,2,programbench | swebench,2,mini_sweagent | programbench_agent,102.0,380.6000000000001,0,3,2026-04-07T03:08:17.807456Z,2026-05-23T07:48:28.473540Z
openai/gpt-5-nano-2025-08-07,4,2,fabv2 | swebench,2,fabv2_agent | mini_sweagent,500.0,500.0,0,3,2026-07-01T17:19:42.417776Z,2026-07-21T03:57:24.631828Z
openai/gpt-5.5-high,4,2,code-migration | terminal-bench,2,mini_swe_code_migration | terminus2,89.0,89.0,0,0,2026-05-26T22:24:56.944360Z,2026-05-28T00:44:19.456017Z
alibaba/qwen3.6-27b,3,2,fabv2-internal | swebench,2,fabv2_agent | mini_sweagent,450.0,490.0,0,1,2026-04-27T08:03:39.907291Z,2026-05-29T18:27:12.453271Z
alibaba/qwen3.6-max-preview,3,2,cyberbench | swebench,3,mini_sweagent | mini_sweagent_patch_agent | mini_sweagent_poc_agent,61.0,412.20000000000005,0,1,2026-04-21T21:42:06.659674Z,2026-06-26T00:44:24.771666Z
anthropic/claude-fruitcake-eap-high,3,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-06-03T18:18:06.113240Z,2026-06-03T18:18:06.395766Z
anthropic/claude-opus-4-6-thinking,3,2,ioi | proof-bench,2,ioi_agent | proof_bench_agent,100.0,100.0,0,1,2026-03-24T17:06:37.934372Z,2026-04-17T22:25:38.807131Z
anthropic/claude-queso-eap-high,3,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-05-23T21:19:55.851890Z,2026-05-23T21:20:25.192894Z
claude-opus-4-8,3,1,valsmith-generation,1,claude_code,100.0,100.0,0,0,2026-07-20T20:57:28.268061Z,2026-07-20T22:28:05.754920Z
cursor/composer-2.5-fast,3,1,vcb,1,cursor,1.0,1.0,1,1,2026-05-20T18:53:22.787140Z,2026-05-20T19:53:42.467371Z
fireworks/gpt-oss-120b,3,1,vcb,1,openhands,20.0,20.0,2,3,2026-04-29T19:22:33.130496Z,2026-04-30T17:44:36.499053Z
google/gemini-2.5-pro,3,1,snap,1,snap-agent,1.0,4.2,1,1,2026-05-07T22:45:35.109823Z,2026-05-08T02:54:06.682333Z
grok/grok-4,3,1,snap,1,snap-agent,1.0,4.2,1,1,2026-05-07T22:45:37.725933Z,2026-05-08T02:54:12.234638Z
meta/super_nova_dist,3,1,terminal-bench,1,terminus2,89.0,89.0,0,1,2026-07-08T12:26:56.000396Z,2026-07-08T12:27:12.770524Z
openai/crest-alpha,3,1,swebench,1,mini_sweagent,102.0,420.40000000000003,0,0,2026-04-09T19:32:52.453046Z,2026-04-10T14:18:20.915954Z
openai/firefly-alpha-high,3,1,terminal-bench,1,terminus2,89.0,89.0,0,2,2026-06-03T19:25:21.807136Z,2026-06-03T22:02:48.138300Z
openai/gpt-5.1-2025-11-13,3,1,snap,1,snap-agent,1.0,4.2,1,2,2026-05-07T22:45:56.395308Z,2026-05-08T02:54:58.652853Z
openai/gpt-5.2-2025-12-11,3,1,snap,1,snap-agent,1.0,4.2,1,1,2026-05-07T22:46:07.403157Z,2026-05-08T02:55:23.368198Z
openai/iris-alpha-code-mode-high,3,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-05-23T23:21:00.104123Z,2026-05-23T23:21:07.008229Z
openai/iris-alpha-high,3,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-05-23T23:20:22.056025Z,2026-05-23T23:20:56.669179Z
openai/joule-alpha-high,3,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-06-03T19:25:18.815347Z,2026-06-03T22:02:45.101058Z
openai/kindle-alpha-high,3,3,fabv2-internal | proof-bench | vcb,3,fabv2_agent | openhands | proof_bench_agent,1.0,1.0,1,1,2026-06-08T18:22:21.694196Z,2026-06-08T18:22:50.586630Z
openai/mercury-alpha-high,3,3,fabv2-internal | proof-bench | vcb,3,fabv2_agent | openhands | proof_bench_agent,1.0,1.0,2,2,2026-06-08T18:22:18.592133Z,2026-06-08T18:22:46.122243Z
zai/glm-5.2-max-tokens-48k-top-p-1,3,1,terminal-bench,1,terminus2,89.0,89.0,0,0,2026-06-17T00:34:30.982366Z,2026-06-17T00:42:12.754595Z
Qwen/Qwen3.5-35B-A3B,2,1,fabv2-internal,1,iter0099_context_proxy,63.5,113.5,0,0,2026-07-16T02:15:03.514605Z,2026-07-16T02:16:15.987741Z
anthropic/claude-nectarine-v5-p,2,1,swebench,1,mini_sweagent,301.0,460.2,0,0,2026-04-07T18:08:09.929267Z,2026-04-08T08:32:31.706145Z
anthropic/claude-opus-4-5-20251101-thinking,2,1,ioi,1,ioi_agent,6.0,6.0,0,1,2026-03-25T17:39:41.728664Z,2026-03-25T17:39:44.990941Z
anthropic/claude-sonnet-4-7,2,1,cyberbench,1,mini_sweagent_poc_agent,89.0,89.0,2,2,2026-05-22T03:19:58.835283Z,2026-05-22T03:30:48.596029Z
anthropic_claude-opus-4-6-thinking,2,1,proof-bench,1,proof_bench_agent,100.0,100.0,2,2,2026-04-14T19:51:58.608413Z,2026-04-17T22:21:30.148618Z
fable,2,1,discogen-harness-rsi-local,1,claude_subscription_discogen_harness,1.0,1.0,0,0,2026-07-21T21:59:20.144657Z,2026-07-22T04:04:32.717822Z
google/gemini-3.1-pro,2,2,cyberbench | terminal-bench,2,mini_sweagent_poc_agent | terminus2,82.0,87.6,2,2,2026-05-25T19:17:31.166230Z,2026-06-02T01:16:20.216238Z
gpt-5.4,2,2,programbench | swebench,2,codex-v1.0.0 | programbench_agent,1.5,1.9,1,1,2026-05-13T00:41:34.164105Z,2026-06-18T00:35:22.262114Z
minimax/MiniMax-M2.1,2,1,vcb,1,openhands,25.5,45.1,0,0,2026-06-16T22:07:56.834722Z,2026-06-16T22:49:38.364370Z
minimax/MiniMax-M2.5,2,2,snap | vcb,2,openhands | snap-agent,25.5,45.1,0,1,2026-05-07T23:34:21.718268Z,2026-06-16T22:07:57.699307Z
minimax/minimax-m3,2,1,skillsbench,1,openhands_cli,1.0,1.0,0,0,2026-06-18T00:35:06.375710Z,2026-06-18T00:36:57.989750Z
